Date,Time,Price1,Price2,Price3,Price,Volume
1996.02.18,0:00,0.7567,0.7586,0.7494,0.7575,435
1996.02.25,0:00,0.7566,0.768,0.7553,0.7616,423
1996.03.03,0:00,0.7634,0.7695,0.7568,0.7689,349
1996.03.10,0:00,0.7685,0.7768,0.766,0.7733,301
1996.03.17,0:00,0.7728,0.779,0.772,0.7769,286
1996.03.24,0:00,0.7755,0.7845,0.772,0.783,405
1996.03.31,0:00,0.7845,0.788,0.7789,0.7845,387
1996.04.07,0:00,0.7831,0.7927,0.7815,0.7917,382
1996.04.14,0:00,0.792,0.7937,0.7809,0.786,375
1996.04.21,0:00,0.7843,0.792,0.783,0.7905,346
1996.04.28,0:00,0.7891,0.7982,0.7845,0.7974,362
1996.05.05,0:00,0.7966,0.805,0.795,0.802,398
1996.05.12,0:00,0.8012,0.8041,0.797,0.801,443
1996.05.19,0:00,0.7991,0.801,0.7893,0.7912,467
1996.05.26,0:00,0.7904,0.8002,0.7892,0.7989,315
1996.06.02,0:00,0.8,0.8036,0.7848,0.7926,417
1996.06.09,0:00,0.7906,0.7955,0.7865,0.7932,378
1996.06.16,0:00,0.792,0.7933,0.7866,0.7895,348
1996.06.23,0:00,0.7881,0.7935,0.7853,0.7871,332
1996.06.30,0:00,0.7872,0.7975,0.7805,0.7956,419
1996.07.07,0:00,0.7944,0.8003,0.7915,0.7976,386
1996.07.14,0:00,0.7965,0.798,0.783,0.7918,531
1996.07.21,0:00,0.791,0.7932,0.7845,0.7868,488
1996.07.28,0:00,0.7871,0.7895,0.7685,0.7739,615
1996.08.04,0:00,0.7726,0.7817,0.7715,0.7798,433
1996.08.11,0:00,0.7786,0.7846,0.7763,0.7832,327
1996.08.18,0:00,0.7829,0.7938,0.7829,0.7917,456
1996.08.25,0:00,0.7908,0.7945,0.7864,0.7902,355
1996.09.01,0:00,0.7905,0.8009,0.7883,0.8,340
1996.09.08,0:00,0.799,0.8024,0.79,0.7912,367
1996.09.15,0:00,0.7917,0.7948,0.786,0.7921,432
1996.09.22,0:00,0.791,0.7942,0.7851,0.7902,334
1996.09.29,0:00,0.7907,0.797,0.7877,0.789,405
1996.10.06,0:00,0.7885,0.7929,0.7855,0.7906,444
1996.10.13,0:00,0.7906,0.797,0.7884,0.7957,330
1996.10.20,0:00,0.7951,0.8001,0.7885,0.7905,407
1996.10.27,0:00,0.7905,0.7948,0.7874,0.789,380
