Date,Price
2017.03.12,0.76816
2017.03.05,0.75456
2017.02.26,0.75939
2017.02.19,0.7668
2017.02.12,0.76678
2017.02.05,0.76738
2017.01.29,0.76796
2017.01.22,0.7545
2017.01.15,0.75537
2017.01.08,0.74998
2017.01.01,0.72969
2016.12.25,0.72
2016.12.18,0.71738
2016.12.11,0.72968
2016.12.04,0.74487
2016.11.27,0.74568
2016.11.20,0.74337
2016.11.13,0.73337
2016.11.06,0.75477
2016.10.30,0.76715
2016.10.23,0.75966
2016.10.16,0.76041
2016.10.09,0.7615
2016.10.02,0.7586
2016.09.25,0.76578
2016.09.18,0.76218
2016.09.11,0.74914
2016.09.04,0.75371
2016.08.28,0.75702
2016.08.21,0.75597
2016.08.14,0.76245
2016.08.07,0.7648
2016.07.31,0.76162
2016.07.24,0.76018
2016.07.17,0.74637
2016.07.10,0.75675
2016.07.03,0.75653
2016.06.26,0.74974
2016.06.19,0.74626
2016.06.12,0.73911
2016.06.05,0.73765
2016.05.29,0.73637
2016.05.22,0.7182
2016.05.15,0.72209
2016.05.08,0.72672
2016.05.01,0.7364
2016.04.24,0.76073
2016.04.17,0.7709
2016.04.10,0.77231
2016.04.03,0.75509
2016.03.27,0.76779
2016.03.20,0.74986
2016.03.13,0.75942
2016.03.06,0.75472
2016.02.28,0.74345
2016.02.21,0.7124
2016.02.14,0.71466
2016.02.07,0.71017
2016.01.31,0.70682
2016.01.24,0.7082
2016.01.17,0.70054
2016.01.10,0.68553
2016.01.03,0.69508
2015.12.27,0.72881
2015.12.20,0.72692
2015.12.13,0.71709
2015.12.06,0.71841
2015.11.29,0.73374
2015.11.22,0.71896
2015.11.15,0.72361
2015.11.08,0.71243
2015.11.01,0.70391
2015.10.25,0.71337
2015.10.18,0.72085
2015.10.11,0.72658
2015.10.04,0.73313
2015.09.27,0.7047
2015.09.20,0.70243
2015.09.13,0.71827
2015.09.06,0.70892
2015.08.30,0.69065
2015.08.23,0.71656
2015.08.16,0.73095
2015.08.09,0.73722
2015.08.02,0.74175
2015.07.26,0.72999
2015.07.19,0.728
2015.07.12,0.73696
2015.07.05,0.74347
2015.06.28,0.75102
2015.06.21,0.76546
2015.06.14,0.77682
2015.06.07,0.77249
2015.05.31,0.76119
2015.05.24,0.76425
2015.05.17,0.78294
2015.05.10,0.80365
2015.05.03,0.79334
2015.04.26,0.7846
2015.04.19,0.78198
2015.04.12,0.77814
2015.04.05,0.76765
2015.03.29,0.76285
2015.03.22,0.77472
2015.03.15,0.77985
2015.03.08,0.76262
2015.03.01,0.77108
2015.02.22,0.781
2015.02.15,0.78446
2015.02.08,0.77512
2015.02.01,0.77952
2015.01.25,0.77627
2015.01.18,0.79051
2015.01.11,0.82216
2015.01.04,0.82008
2014.12.28,0.80904
2014.12.21,0.81164
2014.12.14,0.81425
2014.12.07,0.82422
2014.11.30,0.83237
2014.11.23,0.85049
2014.11.16,0.86667
2014.11.09,0.87432
2014.11.02,0.86301
2014.10.26,0.87961
2014.10.19,0.87969
2014.10.12,0.8747
2014.10.05,0.86851
2014.09.28,0.86738
2014.09.21,0.87608
2014.09.14,0.89248
2014.09.07,0.90352
2014.08.31,0.93757
2014.08.24,0.93325
2014.08.17,0.93096
2014.08.10,0.93142
2014.08.03,0.92704
2014.07.27,0.9308
2014.07.20,0.9393
2014.07.13,0.93902
2014.07.06,0.93872
2014.06.29,0.93615
2014.06.22,0.94247
2014.06.15,0.93867
2014.06.08,0.94007
2014.06.01,0.93295
2014.05.25,0.93098
2014.05.18,0.92286
2014.05.11,0.93573
2014.05.04,0.93594
2014.04.27,0.92742
2014.04.20,0.92786
2014.04.13,0.933
2014.04.06,0.93928
2014.03.30,0.92894
2014.03.23,0.92469
2014.03.16,0.90795
2014.03.09,0.90248
2014.03.02,0.90656
2014.02.23,0.89284
2014.02.16,0.89734
2014.02.09,0.90311
2014.02.02,0.89563
2014.01.26,0.87526
2014.01.19,0.86797
2014.01.12,0.87782
2014.01.05,0.89936
2013.12.29,0.89432
2013.12.22,0.88673
2013.12.15,0.89184
2013.12.08,0.89617
2013.12.01,0.91025
2013.11.24,0.91051
2013.11.17,0.91676
2013.11.10,0.93672
2013.11.03,0.93828
2013.10.27,0.94359
2013.10.20,0.95853
2013.10.13,0.96752
2013.10.06,0.94663
2013.09.29,0.94317
2013.09.22,0.93147
2013.09.15,0.93945
2013.09.08,0.9242
2013.09.01,0.91816
2013.08.25,0.89007
2013.08.18,0.90237
2013.08.11,0.91814
2013.08.04,0.91951
2013.07.28,0.89009
2013.07.21,0.92615
2013.07.14,0.91723
2013.07.07,0.90467
2013.06.30,0.90648
2013.06.23,0.91366
2013.06.16,0.92171
2013.06.09,0.95697
2013.06.02,0.9495
2013.05.26,0.95702
2013.05.19,0.96496
2013.05.12,0.97294
2013.05.05,1.0023
2013.04.28,1.0316
2013.04.21,1.02778
2013.04.14,1.02756
2013.04.07,1.05053
2013.03.31,1.03814
2013.03.24,1.04173
2013.03.17,1.04402
2013.03.10,1.04065
2013.03.03,1.02318
2013.02.24,1.02017
2013.02.17,1.03182
2013.02.10,1.0303
