Date,Time,Open,Highest,Lowest,Adjust,Volume,Rate_high,Rate_low
1996.02.18,0:00,0.7567,0.7586,0.7494,0.7575,435,0.002510903,-0.009647152
1996.02.25,0:00,0.7566,0.768,0.7553,0.7616,423,0.015067407,-0.001718213
1996.03.03,0:00,0.7634,0.7695,0.7568,0.7689,349,0.007990569,-0.008645533
1996.03.10,0:00,0.7685,0.7768,0.766,0.7733,301,0.01080026,-0.00325309
1996.03.17,0:00,0.7728,0.779,0.772,0.7769,286,0.008022774,-0.001035197
1996.03.24,0:00,0.7755,0.7845,0.772,0.783,405,0.011605416,-0.004513217
1996.03.31,0:00,0.7845,0.788,0.7789,0.7845,387,0.00446144,-0.007138305
1996.04.07,0:00,0.7831,0.7927,0.7815,0.7917,382,0.012258971,-0.002043162
1996.04.14,0:00,0.792,0.7937,0.7809,0.786,375,0.002146465,-0.014015152
1996.04.21,0:00,0.7843,0.792,0.783,0.7905,346,0.009817672,-0.001657529
1996.04.28,0:00,0.7891,0.7982,0.7845,0.7974,362,0.011532125,-0.005829426
1996.05.05,0:00,0.7966,0.805,0.795,0.802,398,0.010544815,-0.002008536
1996.05.12,0:00,0.8012,0.8041,0.797,0.801,443,0.003619571,-0.005242137
1996.05.19,0:00,0.7991,0.801,0.7893,0.7912,467,0.002377675,-0.012263797
1996.05.26,0:00,0.7904,0.8002,0.7892,0.7989,315,0.012398785,-0.001518219
1996.06.02,0:00,0.8,0.8036,0.7848,0.7926,417,0.0045,-0.019
1996.06.09,0:00,0.7906,0.7955,0.7865,0.7932,378,0.006197824,-0.005185935
1996.06.16,0:00,0.792,0.7933,0.7866,0.7895,348,0.001641414,-0.006818182
1996.06.23,0:00,0.7881,0.7935,0.7853,0.7871,332,0.006851922,-0.003552849
1996.06.30,0:00,0.7872,0.7975,0.7805,0.7956,419,0.01308435,-0.008511179
1996.07.07,0:00,0.7944,0.8003,0.7915,0.7976,386,0.007426989,-0.003650554
1996.07.14,0:00,0.7965,0.798,0.783,0.7918,531,0.001883239,-0.016949153
1996.07.21,0:00,0.791,0.7932,0.7845,0.7868,488,0.00278129,-0.008217446
1996.07.28,0:00,0.7871,0.7895,0.7685,0.7739,615,0.003049168,-0.023631051
1996.08.04,0:00,0.7726,0.7817,0.7715,0.7798,433,0.011778411,-0.001423764
1996.08.11,0:00,0.7786,0.7846,0.7763,0.7832,327,0.007706139,-0.00295402
1996.08.18,0:00,0.7829,0.7938,0.7829,0.7917,456,0.013922595,0
1996.08.25,0:00,0.7908,0.7945,0.7864,0.7902,355,0.004678806,-0.005563986
1996.09.01,0:00,0.7905,0.8009,0.7883,0.8,340,0.01315623,-0.002783049
1996.09.08,0:00,0.799,0.8024,0.79,0.7912,367,0.004255319,-0.01126408
1996.09.15,0:00,0.7917,0.7948,0.786,0.7921,432,0.003915625,-0.007199697
1996.09.22,0:00,0.791,0.7942,0.7851,0.7902,334,0.004045512,-0.007458913
1996.09.29,0:00,0.7907,0.797,0.7877,0.789,405,0.007967624,-0.003794106
1996.10.06,0:00,0.7885,0.7929,0.7855,0.7906,444,0.005580216,-0.003804692
1996.10.13,0:00,0.7906,0.797,0.7884,0.7957,330,0.008095118,-0.002782697
1996.10.20,0:00,0.7951,0.8001,0.7885,0.7905,407,0.006288517,-0.008300843
1996.10.27,0:00,0.7905,0.7948,0.7874,0.789,380,0.005439595,-0.003921569
1996.11.03,0:00,0.7885,0.7935,0.7813,0.7879,556,0.006341154,-0.009131262
1996.11.10,0:00,0.7881,0.7925,0.786,0.7906,365,0.005583048,-0.002664636
1996.11.17,0:00,0.7903,0.8152,0.7899,0.8146,470,0.031507023,-0.000506137
1996.11.24,0:00,0.8128,0.8173,0.8068,0.8166,500,0.005536417,-0.00738189
1996.12.01,0:00,0.817,0.8215,0.785,0.798,983,0.005507956,-0.039167687
1996.12.08,0:00,0.7986,0.8053,0.7881,0.792,537,0.008389682,-0.013148009
1996.12.15,0:00,0.7931,0.7974,0.79,0.7956,354,0.005421763,-0.003908713
1996.12.22,0:00,0.7955,0.8005,0.7937,0.7955,295,0.006285355,-0.002262728
1996.12.29,0:00,0.797,0.799,0.7883,0.7906,369,0.00250941,-0.010915935
1997.01.05,0:00,0.7907,0.7923,0.7732,0.782,659,0.002023523,-0.022132288
1997.01.12,0:00,0.7815,0.7831,0.7735,0.781,512,0.002047345,-0.010236724
1997.01.19,0:00,0.7819,0.7826,0.7698,0.773,467,0.000895255,-0.015475125
1997.01.26,0:00,0.7725,0.7741,0.759,0.7623,558,0.002071197,-0.017475728
1997.02.02,0:00,0.7626,0.7701,0.7585,0.762,645,0.009834776,-0.005376344
1997.02.09,0:00,0.761,0.7735,0.7546,0.765,660,0.016425756,-0.008409987
1997.02.16,0:00,0.7646,0.7798,0.763,0.778,465,0.019879676,-0.002092597
1997.02.23,0:00,0.7761,0.7825,0.7732,0.7791,498,0.00824636,-0.003736632
1997.03.02,0:00,0.7805,0.7918,0.7795,0.7866,484,0.014477899,-0.00128123
1997.03.09,0:00,0.7868,0.8005,0.7848,0.7985,463,0.017412303,-0.002541942
1997.03.16,0:00,0.7976,0.7995,0.7824,0.787,569,0.002382146,-0.019057172
1997.03.23,0:00,0.7862,0.7911,0.7798,0.784,491,0.006232511,-0.008140422
1997.03.30,0:00,0.7833,0.7903,0.7748,0.776,429,0.00893655,-0.010851526
1997.04.06,0:00,0.7757,0.7899,0.773,0.7848,662,0.018306046,-0.003480727
1997.04.13,0:00,0.7852,0.787,0.7686,0.7732,581,0.00229241,-0.021141111
1997.04.20,0:00,0.7741,0.7805,0.773,0.7762,447,0.008267666,-0.001421005
1997.04.27,0:00,0.7762,0.7867,0.7727,0.783,498,0.013527441,-0.004509147
1997.05.04,0:00,0.7816,0.7839,0.7735,0.7786,505,0.002942682,-0.010363357
1997.05.11,0:00,0.7765,0.7841,0.7722,0.7766,642,0.009787508,-0.005537669
1997.05.18,0:00,0.7754,0.7896,0.7632,0.7666,749,0.018313129,-0.015733815
1997.05.25,0:00,0.7666,0.769,0.7585,0.7604,585,0.003130707,-0.010566136
1997.06.01,0:00,0.76,0.7647,0.7558,0.762,513,0.006184211,-0.005526316
1997.06.08,0:00,0.7612,0.7635,0.75,0.7511,436,0.003021545,-0.01471361
1997.06.15,0:00,0.7511,0.7548,0.7465,0.7511,496,0.004926108,-0.006124351
1997.06.22,0:00,0.7503,0.7538,0.7433,0.7451,397,0.004664801,-0.009329601
1997.06.29,0:00,0.7454,0.7585,0.7441,0.7488,566,0.017574457,-0.00174403
1997.07.06,0:00,0.748,0.7502,0.739,0.7406,567,0.002941176,-0.012032086
1997.07.13,0:00,0.7394,0.7444,0.7312,0.7425,552,0.00676224,-0.011090073
1997.07.20,0:00,0.742,0.7435,0.732,0.738,535,0.002021563,-0.013477089
1997.07.27,0:00,0.7377,0.7502,0.7331,0.739,737,0.016944557,-0.006235597
1997.08.03,0:00,0.7382,0.7428,0.7287,0.7351,579,0.006231374,-0.012869141
1997.08.10,0:00,0.7353,0.7485,0.735,0.743,498,0.017951856,-0.000407997
1997.08.17,0:00,0.741,0.7515,0.7355,0.749,562,0.01417004,-0.007422402
1997.08.24,0:00,0.7466,0.7505,0.7308,0.7325,576,0.005223681,-0.021162604
1997.08.31,0:00,0.7313,0.7347,0.724,0.7315,563,0.004649255,-0.009982223
1997.09.07,0:00,0.73,0.7333,0.7192,0.7223,470,0.004520548,-0.014794521
1997.09.14,0:00,0.7213,0.724,0.7143,0.718,466,0.003743241,-0.0097047
1997.09.21,0:00,0.719,0.7284,0.718,0.7224,448,0.013073713,-0.001390821
1997.09.28,0:00,0.7203,0.7318,0.717,0.7297,543,0.01596557,-0.004581424
1997.10.05,0:00,0.728,0.741,0.7211,0.7401,607,0.017857143,-0.009478022
1997.10.12,0:00,0.7385,0.7431,0.7316,0.7344,515,0.006228842,-0.009343263
1997.10.19,0:00,0.731,0.7328,0.69,0.691,957,0.00246238,-0.056087551
1997.10.26,0:00,0.6865,0.7168,0.681,0.7012,1244,0.044136926,-0.008011653
1997.11.02,0:00,0.7013,0.7179,0.6918,0.6931,823,0.023670327,-0.013546271
1997.11.09,0:00,0.693,0.7027,0.689,0.6976,655,0.013997114,-0.005772006
1997.11.16,0:00,0.6944,0.7055,0.685,0.6943,798,0.015985023,-0.013536866
1997.11.23,0:00,0.695,0.6966,0.676,0.6815,557,0.002302158,-0.027338129
1997.11.30,0:00,0.6811,0.683,0.6695,0.6715,674,0.002789605,-0.017031273
1997.12.07,0:00,0.6705,0.6743,0.6605,0.6615,482,0.005667412,-0.014914243
1997.12.14,0:00,0.6627,0.6644,0.6458,0.6535,904,0.002565263,-0.025501735
1997.12.21,0:00,0.6521,0.661,0.6507,0.6568,317,0.013648213,-0.00214691
1997.12.28,0:00,0.6576,0.6598,0.6495,0.651,386,0.003345499,-0.012317518
1998.01.04,0:00,0.6501,0.6522,0.6317,0.6445,898,0.003230272,-0.028303338
1998.01.11,0:00,0.6414,0.6691,0.6365,0.666,871,0.043186779,-0.007639539
1998.01.18,0:00,0.666,0.6691,0.6558,0.6659,730,0.004654655,-0.015315315
1998.01.25,0:00,0.6676,0.6885,0.6676,0.683,919,0.031306171,0
1998.02.01,0:00,0.6807,0.6883,0.668,0.6713,753,0.011164977,-0.018657265
1998.02.08,0:00,0.6698,0.684,0.6685,0.6735,691,0.021200358,-0.001940878
1998.02.15,0:00,0.6705,0.6777,0.6611,0.67,631,0.010738255,-0.014019389
1998.02.22,0:00,0.6673,0.6819,0.66,0.6795,615,0.021879215,-0.010939607
1998.03.01,0:00,0.6791,0.685,0.664,0.669,583,0.008687969,-0.022235311
